,Date,bt_Close**,bt_Volume,bt_Supply,bt_close_off_high,bt_volatility,bt_High,bt_Low
1784,2014-01-01,771.4,22489400,12189925.0,-0.6123650637880229,0.026994450110600414,775.35,754.97
1783,2014-01-02,802.39,38489500,12189925.00031157,-0.3250470809792848,0.06865432354158035,820.31,767.21
1782,2014-01-03,818.72,37810100,12189925.0,-0.31467910282034384,0.056087687612879085,834.15,789.12
1781,2014-01-04,859.51,38005000,12189925.000290863,-1.0,0.07025641648547869,859.51,801.67
1780,2014-01-05,933.53,72898496,12189924.9997322,-0.6144258275439312,0.1140061731989983,952.4,854.52
1779,2014-01-06,953.29,85565696,12189924.99973775,0.1458576429404912,0.11902141979595104,1017.12,905.71
1778,2014-01-07,802.0,81311696,12229800.0,1.0,0.17299707339750026,965.74,802.0
1777,2014-01-08,842.72,74175600,12234625.0,-0.40825396825396987,0.11872008442317114,870.68,776.18
1776,2014-01-09,846.86,59998600,12239800.0,-0.418797741614082,0.07156523702568128,864.36,804.14
1775,2014-01-10,868.48,31876800,12244475.0,-0.8884544144885764,0.05738818221545079,871.19,822.6
1774,2014-01-11,913.95,44754200,12249725.000273537,-0.7479919678714868,0.06890190471798181,921.48,861.72
1773,2014-01-12,863.22,39623500,12254875.000579227,0.6884292178409808,0.084112657677251,928.52,851.17
1772,2014-01-13,841.2,45580900,12259125.0,-0.272628530050691,0.06421837036003675,861.29,806.05
1771,2014-01-14,833.27,20829800,12263174.999699978,0.4931734931734937,0.03561559353392565,855.69,825.66
1770,2014-01-15,860.9,28107200,12267750.0,-0.4321811680572115,0.05035289033992694,872.81,830.86
1769,2014-01-16,835.63,19149300,12272400.0,1.0,0.03548803310511569,866.16,835.63
1768,2014-01-17,814.64,39031700,12276175.0,0.24867491166077738,0.05426068616759934,842.91,797.63
1767,2014-01-18,840.0,18052700,12280550.0,-0.882769472856018,0.031149288663962597,841.49,816.07
1766,2014-01-19,870.96,24365700,12284725.0,-1.0,0.05410523307052863,870.96,825.53
1765,2014-01-20,870.2,27652700,12289650.0,-0.004305043050433555,0.037319684641779205,886.39,853.87
1764,2014-01-21,863.91,18997300,12293274.999710618,0.36842105263157987,0.029057666877479557,881.2,855.93
1763,2014-01-22,845.59,18453700,12298600.0,0.4980176883196079,0.03781091085204272,870.15,837.36
1762,2014-01-23,822.04,15607100,12303000.0,0.8313178294573698,0.03814491519409552,851.57,819.32
1761,2014-01-24,797.07,34912000,12307750.000627296,0.30553410553410343,0.04723806281385639,822.43,783.58
1760,2014-01-25,853.61,24303900,12311875.000292873,-0.7710614688275652,0.08601677886064504,861.45,792.96
1759,2014-01-26,885.28,32224300,12315650.0,-0.5498466257668706,0.06110017805266607,897.02,844.86
1758,2014-01-27,771.39,49233600,12320025.000324091,0.7898300095665616,0.15361745421659506,893.0,757.11
1757,2014-01-28,812.51,44875500,12323850.000615377,-0.3898046398046393,0.08464897547866979,832.5,766.98
1756,2014-01-29,826.0,17984400,12327675.0,-0.19541080680976963,0.033359672082571956,836.87,809.85
1755,2014-01-30,819.03,29918200,12332074.99969476,-0.2703562340966916,0.038062032396310085,830.5,799.06
1754,2014-01-31,829.92,17107900,12336625.0,-0.7976128697457139,0.023545080214557118,831.87,812.6
1753,2014-02-01,832.58,19668700,12341400.0,0.5857629685725079,0.03187265420402839,853.52,827.11
1752,2014-02-02,825.37,11300900,12346024.999697106,0.6091476091476065,0.02887501500780414,844.72,820.67
1751,2014-02-03,823.83,13940100,12350574.999696538,-0.7248182762201476,0.023371517328414707,826.48,807.22
1750,2014-02-04,827.96,16609700,12354875.0,0.2698907956318235,0.023343894533668263,840.17,820.94
1749,2014-02-05,811.91,22395100,12359050.000615831,1.0,0.030615933297990363,837.32,811.91
1748,2014-02-06,781.55,50108700,12363625.000319878,0.5546525802519324,0.060348949839993025,819.81,770.59
1747,2014-02-07,712.4,113643000,12367500.0,0.09895227008149088,0.1645173646578141,783.2,654.35
1746,2014-02-08,673.92,38742600,12372000.0,0.597998331943288,0.08569549866346476,721.82,661.87
1745,2014-02-09,682.9,39311400,12375500.0,0.03016485443704009,0.08491942930330917,712.27,655.25
1744,2014-02-10,681.03,112758000,12379400.0,-0.703935774427256,0.22487230669876127,703.71,550.5
1743,2014-02-11,672.17,72745200,12383500.0,0.06306068601583226,0.11089978054133148,712.46,636.66
1742,2014-02-12,651.72,25367600,12387925.0,0.4186202277294,0.044409411344775294,672.9,643.04
1741,2014-02-13,605.24,38588100,12392400.0,0.8812410841654765,0.08613380844135902,657.99,601.91
1740,2014-02-14,661.99,102506000,12397174.99962235,-0.6053889036368463,0.25064457640933524,691.72,541.04
1739,2014-02-15,650.92,26709200,12401800.0,-0.24689655172413294,0.043879558178241795,661.84,632.84
1738,2014-02-16,616.63,40061700,12406725.000405429,0.19782528110712927,0.12425917395977287,665.1,584.17
1737,2014-02-17,626.27,31948400,12410600.0,0.23609991941982278,0.080816632206177,656.95,607.31
1736,2014-02-18,626.6,20015100,12414675.0,0.15352197471402484,0.05296893934562158,645.76,612.54
1735,2014-02-19,623.03,13897800,12419674.999598736,0.3374139250191357,0.020879594868763576,631.77,618.7
1734,2014-02-20,556.14,46905000,12424100.0,1.0,0.11489511948514665,627.73,556.14
1733,2014-02-21,574.16,47308100,12427900.0,-0.6646980377214682,0.09425729061916394,582.96,530.47
1732,2014-02-22,605.42,31254000,12432375.000825875,-0.6758497316636829,0.09734605739760374,614.48,558.58
1731,2014-02-23,605.82,31434400,12436575.000825327,0.6955981099229038,0.06630171319273817,639.91,599.7
1730,2014-02-24,546.32,57893900,12441374.999999998,0.7788419677840659,0.11370536598244335,607.61,538.7
1729,2014-02-25,538.71,126314000,12445400.0,-0.9558568240059525,0.2239189989634236,541.38,420.41
1728,2014-02-26,582.69,64642700,12450024.999570955,-0.40718899185622226,0.13261582005064784,603.8,532.58
1727,2014-02-27,578.77,25540800,12454700.0,0.1141086401749909,0.04715894438236044,594.05,566.62
1726,2014-02-28,549.26,28076100,12459225.000910316,0.7900949448293544,0.06722442642746253,584.14,545.17
1725,2014-03-01,565.61,18668100,12462800.0,-0.5441478439425067,0.06199083503054996,573.38,539.29
1724,2014-03-02,559.79,7950760,12466325.000446597,0.24230098779779574,0.03034042628210785,570.48,553.27
1723,2014-03-03,667.76,96056896,12469950.0,-0.5062855537607981,0.25311077929465303,702.91,560.52
1722,2014-03-04,666.78,55344600,12473725.000749873,0.4523926985693141,0.060666826289955816,696.22,655.68
1721,2014-03-05,665.51,22461900,12477650.000751304,-0.3735714285714299,0.042026897214217096,674.28,646.28
1720,2014-03-06,663.86,16068100,12481950.0,-0.4084084084084121,0.030066815144766175,669.77,649.79
1719,2014-03-07,629.15,34150800,12486100.0,0.4774443764033496,0.07374569101774776,665.34,616.35
1718,2014-03-08,617.45,18654200,12490324.999595108,0.15319426336375286,0.048724708572880526,635.14,604.46
1717,2014-03-09,636.96,15396500,12494800.0,-0.5575949367088605,0.05127289837906253,643.95,612.35
1716,2014-03-10,627.79,20639800,12498500.0,0.14122394082044543,0.04673675608567882,644.76,615.02
1715,2014-03-11,634.11,11732500,12502725.000394253,-0.5597548518896873,0.031180826498924955,638.42,618.84
1714,2014-03-12,632.1,18621200,12507250.0,0.7203023758099314,0.029307971071829822,648.03,629.51
1713,2014-03-13,638.14,11634900,12511300.0,-0.09213483146066681,0.02106941068779398,644.2,630.85
1712,2014-03-14,628.8,11913800,12514600.0,0.7418831168831288,0.019306108377471928,639.53,627.21
1711,2014-03-15,636.12,4342080,12518775.0,-0.48986486486486935,0.018812463256907754,639.14,627.3
1710,2014-03-16,631.11,5277290,12523050.000792254,0.3623804463336855,0.014783974862529407,637.52,628.11
1709,2014-03-17,622.37,14648200,12527135.384096278,0.3025900189513573,0.02509034425917696,632.68,616.85
1708,2014-03-18,614.83,24011500,12530590.761673957,-0.18665949435180929,0.029895149877782117,622.39,603.8
1707,2014-03-19,609.89,14228900,12534558.895866469,0.8775193798449668,0.021013194331324283,622.0,609.1
1706,2014-03-20,588.77,20572900,12539150.000849228,0.8849438202247215,0.03649096336143274,609.74,587.49
1705,2014-03-21,571.49,38414100,12543800.0,0.5474520804114051,0.07271923711094884,604.59,561.81
1704,2014-03-22,565.04,17360700,12548050.0,-0.17290748898678365,0.03179383031618749,572.55,554.39
1703,2014-03-23,561.27,9288400,12553444.732481694,0.9166666666666696,0.016544117647058848,570.24,560.88
1702,2014-03-24,583.41,22706900,12558093.051198985,-0.818913480885313,0.06184778937263331,586.56,551.77
1701,2014-03-25,583.92,14020100,12561960.460337033,-0.7632398753893939,0.02194759243115743,585.44,572.6
1700,2014-03-26,580.83,16401100,12565935.096327668,-0.03513371788149322,0.03268321107835733,590.03,570.96
1699,2014-03-27,471.24,62225400,12570273.325693913,1.0,0.18839830420845818,580.56,471.24
1698,2014-03-28,495.67,58828300,12574498.525228478,0.14983898465618428,0.11063838705620985,526.02,473.23
1697,2014-03-29,491.17,11147100,12579001.219537023,0.8096497025776606,0.030156863526738548,504.86,489.73
1696,2014-03-30,460.27,42958300,12582657.012188498,0.3322266030296752,0.09787355037878018,492.37,444.18
1695,2014-03-31,457.0,28254000,12587077.542669585,0.3121533030761474,0.08578844905905249,483.02,443.36
1694,2014-04-01,478.38,35685800,12591143.396463063,-0.11528429838289045,0.08389496717724283,495.34,457.0
1693,2014-04-02,437.14,49647600,12596225.001143798,0.8159297585449983,0.13311349501189637,495.05,431.27
1692,2014-04-03,444.72,40765500,12601268.3283864,-0.7202998846597483,0.07946109430849603,449.57,414.89
1691,2014-04-04,447.53,22925500,12606112.325430699,-0.4428794992175271,0.057353139164385405,454.65,429.09
1690,2014-04-05,461.91,13404500,12610393.098222597,-0.8286009292720735,0.0433653480197909,463.57,444.2
1689,2014-04-06,460.5,10241400,12614247.606948968,-0.12808988764044826,0.028808804488562725,466.32,452.97
1688,2014-04-07,449.42,15616600,12618109.229673801,0.5068807339449528,0.03779227252042386,462.56,445.12
1687,2014-04-08,453.09,10921600,12621288.574013993,-0.2343059239610893,0.025267532003306455,457.42,446.11
1686,2014-04-09,442.73,13204400,12625257.414225373,0.8840579710144911,0.03045147623460879,455.73,441.93
1685,2014-04-10,365.18,55868300,12629161.665480036,0.8475897920604918,0.19138063582508025,443.37,358.73
1684,2014-04-11,420.95,62562800,12633409.965554103,-0.7752866242038219,0.215831294162932,429.77,351.27
1683,2014-04-12,421.12,19226500,12637429.962955927,0.552476910159531,0.05659435957138443,439.61,415.79
1682,2014-04-13,414.06,22493500,12642291.597836062,-0.17013996889580185,0.07628244673278597,427.4,395.25
1681,2014-04-14,458.79,50730200,12646967.300943786,-0.6486053222186605,0.15037485234915507,469.75,407.37
1680,2014-04-15,515.59,49561000,12651476.847883007,-0.8958142377024146,0.14281039335035012,519.0,453.54
1679,2014-04-16,527.4,56480100,12655430.018960942,-0.243434343434343,0.07583591864874187,542.38,502.78
1678,2014-04-17,495.96,34025500,12659876.57674006,0.5440904419321693,0.09195380573459083,533.52,484.87
1677,2014-04-18,479.64,19042400,12663907.013593528,0.4663573085846888,0.05215812827753129,498.6,472.74
1676,2014-04-19,501.57,19588200,12667623.719520705,-0.8799636253410114,0.06878935735435175,503.55,470.56
1675,2014-04-20,498.17,12103100,12672174.125298593,0.26809785322016677,0.0399202790234181,510.87,490.84
1674,2014-04-21,495.77,15171400,12676576.708957784,0.7040875071963164,0.03489773777474184,510.57,493.2
1673,2014-04-22,487.92,11670900,12680428.95351697,0.9565217391304308,0.031567262084973347,503.22,487.58
1672,2014-04-23,491.3,9814530,12684552.454711989,-0.47510094212651766,0.01521418625604064,493.25,485.82
1671,2014-04-24,500.46,13009400,12688351.766374936,-1.0,0.035674266039158145,500.46,482.95
1670,2014-04-25,461.45,46856500,12692772.49322787,0.3548387096774197,0.11467935771561125,500.3,442.95
1669,2014-04-26,458.6,12214600,12696852.686436981,-0.23056994818652865,0.03344162876326619,464.54,449.1
1668,2014-04-27,436.39,10949500,12701300.0,1.0,0.050170588749890645,459.33,436.39
1667,2014-04-28,440.29,23876600,12704955.720093574,-0.41114274095160963,0.05709045319465075,447.53,422.94
1666,2014-04-29,447.21,16401400,12709296.581024576,-0.4617253948967178,0.037410791399609025,451.64,435.18
1665,2014-04-30,447.64,15244900,12712916.998034135,-0.5194444444444406,0.03222269462283791,451.1,436.7
1664,2014-05-01,457.76,12871800,12717200.0,-0.5608628659476088,0.028997162835377472,460.61,447.63
1663,2014-05-02,449.38,10394200,12721140.07521474,0.17687543014452767,0.031769284589819896,457.93,443.4
1662,2014-05-03,437.76,9849640,12724833.136878654,0.24358974358974406,0.04165554072096122,449.4,430.68
1661,2014-05-04,436.4,5621260,12728637.502291476,-0.3065843621399147,0.022165465657210552,439.77,430.05
1660,2014-05-05,433.48,10004800,12731733.7408877,0.12209737827715306,0.03070518423110544,440.97,427.62
1659,2014-05-06,428.96,12507300,12736559.383159269,0.5393303751512728,0.057204172050950755,448.04,423.25
1658,2014-05-07,438.82,18332200,12740529.034683926,-0.17307692307692313,0.04117948479060886,446.13,428.45
1657,2014-05-08,440.17,9446580,12744646.045845922,0.604288499025335,0.023388346858758072,448.4,438.14
1656,2014-05-09,449.46,10347900,12748928.365149291,-0.48525896414342384,0.028511063655777207,452.69,440.14
1655,2014-05-10,454.43,6682600,12753434.1944854,-0.6328767123287717,0.01620565644008337,455.77,448.47
1654,2014-05-11,438.89,12251700,12757083.731686756,0.4995442114858697,0.04833450828339795,455.34,433.4
1653,2014-05-12,441.46,7383770,12761357.814977575,-0.8007471980074685,0.018320784850558915,442.26,434.23
1652,2014-05-13,440.67,7682670,12765353.967821725,-0.4770459081836309,0.011346907344914255,441.98,436.97
1651,2014-05-14,443.97,9472960,12769132.522467734,-0.12662337662338086,0.01398125241153913,446.66,440.5
1650,2014-05-15,447.25,7362980,12773407.119060928,-0.1734197730956224,0.013892016030981258,449.8,443.63
1649,2014-05-16,448.06,6475100,12777792.962996027,-0.08771929824561331,0.01274056192583662,450.66,444.96
1648,2014-05-17,448.9,2945790,12782285.424370684,0.31623931623933177,0.010443631170222277,451.98,447.3
1647,2014-05-18,446.26,2857830,12786639.61143728,0.4068136272545029,0.011121016269222218,449.77,444.78
1646,2014-05-19,446.18,6242620,12790753.666681608,-0.3842696629213447,0.00997578909612623,447.55,443.1
